,date,tavg,tmin,tmax,prcp,snow,wspd,pres,site
272,2011-11-13,17.3,15.0,21.7,1.8,0.0,7.6,1011.5,Phoenix
273,2011-11-20,24.6,22.8,28.0,0.0,0.0,16.6,1016.5604819277108,Homestead
274,2012-02-27,20.4,18.3,23.9,7.1,0.0,6.1,1025.9,Daytona
275,2012-03-04,18.7,8.3,27.2,0.0,0.0,3.6,1018.4,Phoenix
276,2012-03-11,,11.1,25.0,0.0,0.0,21.2,1016.5604819277108,Las Vegas
277,2012-03-18,16.8,13.7,22.3,6.6,0.0,4.9,1016.5604819277108,Bristol
278,2012-03-25,11.4,7.8,16.7,0.0,0.0,9.0,1012.8,Fontana
279,2012-04-01,16.8,9.0,23.0,0.0,0.0,4.1,1016.5604819277108,Martinsville
280,2012-04-14,23.5,21.7,26.1,0.0,0.0,34.2,1007.5,Fort Worth
281,2012-04-22,12.5,9.4,15.6,0.0,0.0,16.2,1019.2,Kansas
282,2012-04-28,10.7,7.2,15.0,2.5,0.0,7.6,1023.6,Richmond
283,2012-05-12,19.3,12.0,26.0,0.0,0.0,5.7,1025.0,Darlington
284,2012-05-27,25.0,18.3,29.4,0.0,0.0,11.5,1018.9,Charlotte
285,2012-06-17,22.3,17.2,26.7,0.0,0.0,8.7,1012.3,Michigan
286,2012-06-24,14.2,6.1,21.7,0.0,0.0,7.9,1014.7,Sonoma
287,2012-07-07,28.1,23.9,32.2,0.0,0.0,8.3,1018.5,Daytona
288,2012-07-15,25.1,20.6,31.1,4.6,0.0,4.3,1020.1,Loudon
289,2012-07-29,25.2,16.7,32.8,0.0,0.0,5.0,1017.2,Indianapolis
290,2012-08-12,19.7,14.4,24.4,0.0,0.0,9.7,1013.4,Watkins Glen
291,2012-08-19,17.5,10.6,24.4,0.0,0.0,3.0,1014.1,Michigan
292,2012-08-25,21.8,15.4,28.6,0.0,0.0,5.6,1016.5604819277108,Bristol
293,2012-09-02,27.0,22.2,31.7,0.3,0.0,6.4,1016.1,Atlanta
294,2012-09-08,24.3,18.3,31.1,5.3,0.0,15.5,1008.6,Richmond
295,2012-09-16,20.0,12.8,26.1,0.0,0.0,8.4,1017.6,Chicago
296,2012-09-23,15.9,10.0,22.2,0.0,0.0,5.4,1020.6,Loudon
297,2012-10-13,14.4,7.2,20.0,0.0,0.0,8.6,1028.7,Charlotte
298,2012-10-21,18.2,10.0,24.4,0.0,0.0,9.6,1008.0,Kansas
299,2012-10-28,15.6,12.0,19.0,0.0,0.0,15.6,1016.5604819277108,Martinsville
300,2012-11-04,16.6,11.1,23.9,0.0,0.0,7.2,1018.7,Fort Worth
301,2012-11-11,12.0,6.1,18.3,0.0,0.0,5.4,1022.5,Phoenix
302,2012-11-18,22.6,19.0,27.0,0.0,0.0,16.5,1018.2,Homestead
303,2013-02-24,19.5,16.1,22.2,0.0,0.0,7.9,1014.1,Daytona
304,2013-03-03,19.0,12.2,25.0,0.0,0.0,7.2,1014.3,Phoenix
305,2013-03-10,,10.6,20.0,0.0,0.0,11.9,1016.5604819277108,Las Vegas
306,2013-03-17,12.2,8.8,15.2,0.8,0.0,11.9,1016.5604819277108,Bristol
307,2013-03-24,17.5,9.4,27.2,0.0,0.0,4.5,1013.1,Fontana
308,2013-04-07,12.9,1.0,21.8,0.0,0.0,7.4,1016.5604819277108,Martinsville
309,2013-04-13,18.3,11.1,24.4,0.0,0.0,18.7,1016.5604819277108,Fort Worth
310,2013-04-21,14.7,9.4,19.4,0.0,0.0,17.1,1021.4,Kansas
